month,day,quarter,day_of_week,workingday,holiday,temperature,humidity,windspeed,registered,casual,total
1,1,1Q,SUN,0,0,21.4,72,12,1608,686,2294
1,2,1Q,MON,0,1,15.0,44,19,1707,244,1951
1,3,1Q,TUE,1,0,7.6,39,23,2147,89,2236
1,4,1Q,WED,1,0,0.4,35,11,2273,95,2368
1,5,1Q,THU,1,0,14.2,49,6,3132,140,3272
1,6,1Q,FRI,1,0,13.1,60,14,3791,307,4098
1,7,1Q,SAT,0,0,20.6,45,5,3451,1070,4521
1,8,1Q,SUN,0,0,24.4,41,19,2826,599,3425
1,9,1Q,MON,1,0,6.6,67,4,2270,106,2376
1,10,1Q,TUE,1,0,3.0,56,14,3425,173,3598
1,11,1Q,WED,1,0,5.2,81,2,2085,92,2177
1,12,1Q,THU,1,0,18.3,83,15,3828,269,4097
1,13,1Q,FRI,1,0,5.4,58,16,3040,174,3214
1,14,1Q,SAT,0,0,4.3,65,8,2160,333,2493
1,15,1Q,SUN,0,0,9.6,35,30,2027,284,2311
1,16,1Q,MON,0,1,7.0,58,13,2081,217,2298
1,17,1Q,TUE,1,0,14.7,73,19,2808,127,2935
1,18,1Q,WED,1,0,15.8,40,32,3267,109,3376
1,19,1Q,THU,1,0,7.2,50,9,3162,130,3292
1,20,1Q,FRI,1,0,4.4,48,9,3048,115,3163
1,21,1Q,SAT,0,0,4.9,83,15,1234,67,1301
1,22,1Q,SUN,0,0,9.2,89,7,1781,196,1977
1,23,1Q,MON,1,0,4.1,87,0,2287,145,2432
1,24,1Q,TUE,1,0,12.3,83,12,3900,439,4339
1,25,1Q,WED,1,0,6.6,64,15,3803,467,4270
1,26,1Q,THU,1,0,14.2,73,12,3831,244,4075
1,27,1Q,FRI,1,0,15.2,65,23,3187,269,3456
1,28,1Q,SAT,0,0,19.1,53,18,3248,775,4023
1,29,1Q,SUN,0,0,9.2,21,14,2685,558,3243
1,30,1Q,MON,1,0,10.8,36,8,3498,126,3624
1,31,1Q,TUE,1,0,16.3,44,20,4185,324,4509
2,1,1Q,WED,1,0,20.4,52,13,4275,304,4579
2,2,1Q,THU,1,0,16.9,75,6,3571,190,3761
2,3,1Q,FRI,1,0,14.1,62,8,3841,310,4151
2,4,1Q,SAT,0,0,17.5,76,8,2448,384,2832
2,5,1Q,SUN,0,0,9.0,56,10,2629,318,2947
2,6,1Q,MON,1,0,7.2,61,22,3578,206,3784
2,7,1Q,TUE,1,0,13.4,51,5,4176,199,4375
2,8,1Q,WED,1,0,17.9,77,7,2693,109,2802
2,9,1Q,THU,1,0,11.4,49,11,3667,163,3830
2,10,1Q,FRI,1,0,10.2,50,1,3604,227,3831
2,11,1Q,SAT,0,0,7.9,67,34,1977,192,2169
2,12,1Q,SUN,0,0,6.5,43,29,1456,73,1529
2,13,1Q,MON,1,0,7.9,39,10,3328,94,3422
2,14,1Q,TUE,1,0,15.1,52,5,3787,135,3922
2,15,1Q,WED,1,0,19.9,56,13,4028,141,4169
2,16,1Q,THU,1,0,14.7,87,4,2931,74,3005
2,17,1Q,FRI,1,0,10.8,61,16,3805,349,4154
2,18,1Q,SAT,0,0,14.8,50,8,2883,1435,4318
2,19,1Q,SUN,0,0,8.3,53,13,2071,618,2689
2,20,1Q,MON,0,1,14.7,47,14,2627,502,3129
2,21,1Q,TUE,1,0,6.1,58,5,3614,163,3777
2,22,1Q,WED,1,0,13.9,58,5,4379,394,4773
2,23,1Q,THU,1,0,18.5,55,18,4546,516,5062
2,24,1Q,FRI,1,0,10.7,73,9,3241,246,3487
2,25,1Q,SAT,0,0,16.6,42,28,2415,317,2732
2,26,1Q,SUN,0,0,11.3,38,16,2874,515,3389
2,27,1Q,MON,1,0,17.1,55,15,4069,253,4322
2,28,1Q,TUE,1,0,16.2,41,17,4134,229,4363
2,29,1Q,WED,1,0,14.9,85,11,1769,65,1834
3,1,1Q,THU,1,0,21.0,67,17,4665,325,4990
3,2,1Q,FRI,1,0,13.2,53,13,2948,246,3194
3,3,1Q,SAT,0,0,15.3,68,12,3110,956,4066
3,4,1Q,SUN,0,0,11.7,37,23,2713,710,3423
3,5,1Q,MON,1,0,12.9,60,21,3130,203,3333
3,6,1Q,TUE,1,0,6.9,52,6,3735,221,3956
3,7,1Q,WED,1,0,18.3,47,23,4484,432,4916
3,8,1Q,THU,1,0,17.6,47,20,4896,486,5382
3,9,1Q,FRI,1,0,13.7,36,19,4122,447,4569
3,10,1Q,SAT,0,0,11.5,34,8,3150,968,4118
3,11,1Q,SUN,0,0,20.3,49,14,3253,1658,4911
3,12,1Q,MON,1,0,17.8,53,15,4460,838,5298
3,13,1Q,TUE,1,0,25.6,64,8,5085,762,5847
3,14,1Q,WED,1,0,26.4,45,6,5315,997,6312
3,15,1Q,THU,1,0,30.3,67,4,5187,1005,6192
3,16,1Q,FRI,1,0,12.2,83,8,3830,548,4378
3,17,1Q,SAT,0,0,13.1,84,9,4681,3155,7836
3,18,1Q,SUN,0,0,24.8,93,3,3685,2207,5892
3,19,1Q,MON,1,0,19.3,73,21,5171,982,6153
3,20,1Q,TUE,1,0,28.8,88,-4,5042,1051,6093
3,21,1Q,WED,1,0,17.0,93,3,5108,1122,6230
3,22,1Q,THU,1,0,26.1,92,-1,5537,1334,6871
3,23,1Q,FRI,1,0,23.5,77,6,5893,2469,8362
3,24,1Q,SAT,0,0,22.9,97,17,2339,1033,3372
3,25,1Q,SUN,0,0,20.7,92,10,3464,1532,4996
3,26,1Q,MON,1,0,16.9,46,25,4763,795,5558
3,27,1Q,TUE,1,0,6.3,33,17,4571,531,5102
3,28,1Q,WED,1,0,20.4,55,27,5024,674,5698
3,29,1Q,THU,1,0,19.8,36,15,5299,834,6133
3,30,1Q,FRI,1,0,16.7,61,-2,4663,796,5459
3,31,1Q,SAT,0,0,20.6,81,18,3934,2301,6235
4,1,2Q,SUN,0,0,19.1,72,5,3694,2347,6041
4,2,2Q,MON,1,0,16.3,41,29,4728,1208,5936
4,3,2Q,TUE,1,0,17.1,40,10,5424,1348,6772
4,4,2Q,WED,1,0,16.0,54,9,5378,1058,6436
4,5,2Q,THU,1,0,21.9,32,20,5265,1192,6457
4,6,2Q,FRI,1,0,9.1,54,14,4653,1807,6460
4,7,2Q,SAT,0,0,13.6,33,24,3605,3252,6857
4,8,2Q,SUN,0,0,15.8,40,13,2939,2230,5169
4,9,2Q,MON,1,0,18.3,32,27,4680,905,5585
4,10,2Q,TUE,1,0,18.5,37,10,5099,819,5918
4,11,2Q,WED,1,0,3.7,47,17,4380,482,4862
4,12,2Q,THU,1,0,10.8,47,15,4746,663,5409
4,13,2Q,FRI,1,0,18.9,38,18,5146,1252,6398
4,14,2Q,SAT,0,0,22.7,48,8,4665,2795,7460
4,15,2Q,SUN,0,0,22.9,53,9,4286,2846,7132
4,16,2Q,MON,0,1,28.3,57,18,5172,1198,6370
4,17,2Q,TUE,1,0,17.6,53,20,5702,989,6691
4,18,2Q,WED,1,0,23.8,48,8,4020,347,4367
4,19,2Q,THU,1,0,22.7,64,10,5719,846,6565
4,20,2Q,FRI,1,0,21.2,66,2,5950,1340,7290
4,21,2Q,SAT,0,0,25.9,79,17,4083,2541,6624
4,22,2Q,SUN,0,0,12.2,74,24,907,120,1027
4,23,2Q,MON,1,0,10.6,87,19,3019,195,3214
4,24,2Q,TUE,1,0,17.0,52,20,5115,518,5633
4,25,2Q,WED,1,0,23.1,42,7,5541,655,6196
4,26,2Q,THU,1,0,14.0,97,18,4551,475,5026
4,27,2Q,FRI,1,0,20.5,51,19,5219,1014,6233
4,28,2Q,SAT,0,0,13.0,56,8,3100,1120,4220
4,29,2Q,SUN,0,0,26.3,69,3,4075,2229,6304
4,30,2Q,MON,1,0,23.0,60,22,4907,665,5572
5,1,2Q,TUE,1,0,29.4,72,13,5087,653,5740
5,2,2Q,WED,1,0,27.4,75,-1,5502,667,6169
5,3,2Q,THU,1,0,30.2,76,10,5657,764,6421
5,4,2Q,FRI,1,0,20.2,71,16,5227,1069,6296
5,5,2Q,SAT,0,0,24.7,80,11,4387,2496,6883
5,6,2Q,SUN,0,0,25.4,80,6,4224,2135,6359
5,7,2Q,MON,1,0,16.5,68,11,5265,1008,6273
5,8,2Q,TUE,1,0,25.2,70,23,4990,738,5728
5,9,2Q,WED,1,0,30.7,73,2,4097,620,4717
5,10,2Q,THU,1,0,17.1,61,14,5546,1026,6572
5,11,2Q,FRI,1,0,25.2,40,9,5711,1319,7030
5,12,2Q,SAT,0,0,21.3,58,1,4807,2622,7429
5,13,2Q,SUN,0,0,23.4,59,16,3946,2172,6118
5,14,2Q,MON,1,0,22.1,80,11,2501,342,2843
5,15,2Q,TUE,1,0,23.5,74,-3,4490,625,5115
5,16,2Q,WED,1,0,20.8,78,10,6433,991,7424
5,17,2Q,THU,1,0,25.8,48,14,6142,1242,7384
5,18,2Q,FRI,1,0,27.0,56,11,6118,1521,7639
5,19,2Q,SAT,0,0,20.9,50,11,4884,3410,8294
5,20,2Q,SUN,0,0,24.9,49,18,4425,2704,7129
5,21,2Q,MON,1,0,24.4,77,16,3729,630,4359
5,22,2Q,TUE,1,0,26.5,83,5,5254,819,6073
5,23,2Q,WED,1,0,25.7,90,-6,4494,766,5260
5,24,2Q,THU,1,0,32.4,69,11,5711,1059,6770
5,25,2Q,FRI,1,0,26.5,57,14,5317,1417,6734
5,26,2Q,SAT,0,0,37.2,69,13,3681,2855,6536
5,27,2Q,SUN,0,0,30.1,73,10,3308,3283,6591
5,28,2Q,MON,0,1,29.6,70,14,3486,2557,6043
5,29,2Q,TUE,1,0,25.7,66,27,4863,880,5743
5,30,2Q,WED,1,0,22.0,75,5,6110,745,6855
5,31,2Q,THU,1,0,26.1,51,17,6238,1100,7338
6,1,2Q,FRI,1,0,31.9,75,15,3594,533,4127
6,2,2Q,SAT,0,0,30.5,58,13,5325,2795,8120
6,3,2Q,SUN,0,0,28.3,61,15,5147,2494,7641
6,4,2Q,MON,1,0,22.1,47,17,5927,1071,6998
6,5,2Q,TUE,1,0,21.2,61,14,6033,968,7001
6,6,2Q,WED,1,0,18.9,61,1,6028,1027,7055
6,7,2Q,THU,1,0,29.0,58,21,6456,1038,7494
6,8,2Q,FRI,1,0,23.8,40,14,6248,1488,7736
6,9,2Q,SAT,0,0,28.1,44,16,4790,2708,7498
6,10,2Q,SUN,0,0,25.9,42,11,4374,2224,6598
6,11,2Q,MON,1,0,21.0,52,12,5647,1017,6664
6,12,2Q,TUE,1,0,27.6,76,0,4495,477,4972
6,13,2Q,WED,1,0,27.4,53,16,6248,1173,7421
6,14,2Q,THU,1,0,25.1,67,15,6183,1180,7363
6,15,2Q,FRI,1,0,32.8,54,20,6102,1563,7665
6,16,2Q,SAT,0,0,24.3,42,11,4739,2963,7702
6,17,2Q,SUN,0,0,22.4,63,2,4344,2634,6978
6,18,2Q,MON,1,0,19.5,85,10,4446,653,5099
6,19,2Q,TUE,1,0,38.1,74,3,5857,968,6825
6,20,2Q,WED,1,0,29.9,68,6,5339,872,6211
6,21,2Q,THU,1,0,34.3,71,-2,5127,778,5905
6,22,2Q,FRI,1,0,37.1,64,17,4859,964,5823
6,23,2Q,SAT,0,0,31.8,48,12,4801,2657,7458
6,24,2Q,SUN,0,0,20.8,45,5,4340,2551,6891
6,25,2Q,MON,1,0,30.8,44,22,5640,1139,6779
6,26,2Q,TUE,1,0,15.4,47,21,6365,1077,7442
6,27,2Q,WED,1,0,26.8,48,17,6258,1077,7335
6,28,2Q,THU,1,0,30.3,66,9,5958,921,6879
6,29,2Q,FRI,1,0,33.1,61,12,4634,829,5463
6,30,2Q,SAT,0,0,32.5,55,23,4232,1455,5687
7,1,3Q,SUN,0,0,34.7,52,17,4110,1421,5531
7,2,3Q,MON,1,0,29.9,40,18,5323,904,6227
7,3,3Q,TUE,1,0,34.3,45,9,5608,1052,6660
7,4,3Q,WED,0,1,31.5,43,11,4841,2562,7403
7,5,3Q,THU,1,0,37.2,50,9,4836,1405,6241
7,6,3Q,FRI,1,0,30.8,60,4,4841,1366,6207
7,7,3Q,SAT,0,0,33.2,42,12,3392,1448,4840
7,8,3Q,SUN,0,0,27.3,67,0,3469,1203,4672
7,9,3Q,MON,1,0,27.8,69,6,5571,998,6569
7,10,3Q,TUE,1,0,24.9,84,12,5336,954,6290
7,11,3Q,WED,1,0,29.3,74,13,6289,975,7264
7,12,3Q,THU,1,0,26.2,49,4,6414,1032,7446
7,13,3Q,FRI,1,0,32.2,60,17,5988,1511,7499
7,14,3Q,SAT,0,0,29.4,67,7,4614,2355,6969
7,15,3Q,SUN,0,0,27.3,57,8,4111,1920,6031
7,16,3Q,MON,1,0,34.7,50,7,5742,1088,6830
7,17,3Q,TUE,1,0,41.5,51,0,5865,921,6786
7,18,3Q,WED,1,0,37.7,62,2,4914,799,5713
7,19,3Q,THU,1,0,36.1,63,19,5703,888,6591
7,20,3Q,FRI,1,0,31.0,75,12,5123,747,5870
7,21,3Q,SAT,0,0,25.1,83,18,3195,1264,4459
7,22,3Q,SUN,0,0,33.3,82,2,4866,2544,7410
7,23,3Q,MON,1,0,27.8,80,0,5831,1135,6966
7,24,3Q,TUE,1,0,29.2,72,12,6452,1140,7592
7,25,3Q,WED,1,0,33.2,50,11,6790,1383,8173
7,26,3Q,THU,1,0,30.5,55,28,5825,1036,6861
7,27,3Q,FRI,1,0,33.6,65,14,5645,1259,6904
7,28,3Q,SAT,0,0,34.7,66,14,4451,2234,6685
7,29,3Q,SUN,0,0,26.1,72,19,4444,2153,6597
7,30,3Q,MON,1,0,30.8,60,4,6065,1040,7105
7,31,3Q,TUE,1,0,29.0,65,18,6248,968,7216
8,1,3Q,WED,1,0,32.3,66,8,6506,1074,7580
8,2,3Q,THU,1,0,34.8,60,-7,6278,983,7261
8,3,3Q,FRI,1,0,34.9,51,9,5847,1328,7175
8,4,3Q,SAT,0,0,33.2,53,23,4479,2345,6824
8,5,3Q,SUN,0,0,34.1,62,20,3757,1707,5464
8,6,3Q,MON,1,0,33.6,79,5,5780,1233,7013
8,7,3Q,TUE,1,0,28.5,63,8,5995,1278,7273
8,8,3Q,WED,1,0,37.0,65,5,6271,1263,7534
8,9,3Q,THU,1,0,24.4,54,18,6090,1196,7286
8,10,3Q,FRI,1,0,26.0,71,15,4721,1065,5786
8,11,3Q,SAT,0,0,30.4,67,14,4052,2247,6299
8,12,3Q,SUN,0,0,25.5,58,13,4362,2182,6544
8,13,3Q,MON,1,0,23.7,54,11,5676,1207,6883
8,14,3Q,TUE,1,0,27.5,78,7,5656,1128,6784
8,15,3Q,WED,1,0,29.5,67,21,6149,1198,7347
8,16,3Q,THU,1,0,30.5,49,3,6267,1338,7605
8,17,3Q,FRI,1,0,28.7,70,5,5665,1483,7148
8,18,3Q,SAT,0,0,30.4,63,9,5038,2827,7865
8,19,3Q,SUN,0,0,25.0,81,11,3341,1208,4549
8,20,3Q,MON,1,0,21.7,76,11,5504,1026,6530
8,21,3Q,TUE,1,0,26.3,68,7,5925,1081,7006
8,22,3Q,WED,1,0,27.1,80,16,6281,1094,7375
8,23,3Q,THU,1,0,28.8,59,6,6402,1363,7765
8,24,3Q,FRI,1,0,32.0,59,7,6257,1325,7582
8,25,3Q,SAT,0,0,26.4,78,18,4224,1829,6053
8,26,3Q,SUN,0,0,29.7,79,13,3772,1483,5255
8,27,3Q,MON,1,0,31.4,76,12,5928,989,6917
8,28,3Q,TUE,1,0,29.1,49,13,6105,935,7040
8,29,3Q,WED,1,0,25.1,64,10,6520,1177,7697
8,30,3Q,THU,1,0,34.9,68,6,6541,1172,7713
8,31,3Q,FRI,1,0,36.1,60,8,5917,1433,7350
9,1,3Q,SAT,0,0,24.5,49,4,3788,2352,6140
9,2,3Q,SUN,0,0,24.4,84,10,3197,2613,5810
9,3,3Q,MON,0,1,28.9,83,24,4069,1965,6034
9,4,3Q,TUE,1,0,32.9,72,20,5997,867,6864
9,5,3Q,WED,1,0,32.1,78,18,6280,832,7112
9,6,3Q,THU,1,0,19.7,84,-1,5592,611,6203
9,7,3Q,FRI,1,0,24.4,78,20,6459,1045,7504
9,8,3Q,SAT,0,0,21.1,78,20,4419,1557,5976
9,9,3Q,SUN,0,0,18.3,50,19,5657,2570,8227
9,10,3Q,MON,1,0,21.9,54,25,6407,1118,7525
9,11,3Q,TUE,1,0,19.6,53,5,6697,1070,7767
9,12,3Q,WED,1,0,31.0,62,5,6820,1050,7870
9,13,3Q,THU,1,0,26.4,59,-5,6750,1054,7804
9,14,3Q,FRI,1,0,25.0,64,12,6630,1379,8009
9,15,3Q,SAT,0,0,22.3,47,3,5554,3160,8714
9,16,3Q,SUN,0,0,30.4,58,7,5167,2166,7333
9,17,3Q,MON,1,0,18.3,70,21,5847,1022,6869
9,18,3Q,TUE,1,0,16.0,84,31,3702,371,4073
9,19,3Q,WED,1,0,24.3,48,15,6803,788,7591
9,20,3Q,THU,1,0,25.1,64,9,6781,939,7720
9,21,3Q,FRI,1,0,26.3,64,13,6917,1250,8167
9,22,3Q,SAT,0,0,27.7,58,18,5883,2512,8395
9,23,3Q,SUN,0,0,26.2,49,15,5453,2454,7907
9,24,3Q,MON,1,0,16.5,66,9,6435,1001,7436
9,25,3Q,TUE,1,0,31.7,64,8,6693,845,7538
9,26,3Q,WED,1,0,20.8,63,6,6946,787,7733
9,27,3Q,THU,1,0,25.9,84,7,6642,751,7393
9,28,3Q,FRI,1,0,30.9,75,10,6370,1045,7415
9,29,3Q,SAT,0,0,22.9,49,12,5966,2589,8555
9,30,3Q,SUN,0,0,24.7,68,3,4874,2015,6889
10,1,4Q,MON,1,0,17.2,60,18,6015,763,6778
10,2,4Q,TUE,1,0,21.6,98,12,4324,315,4639
10,3,4Q,WED,1,0,28.3,83,10,6844,728,7572
10,4,4Q,THU,1,0,28.4,74,1,6437,891,7328
10,5,4Q,FRI,1,0,20.8,67,5,6640,1516,8156
10,6,4Q,SAT,0,0,25.0,78,20,4934,3031,7965
10,7,4Q,SUN,0,0,13.1,82,4,2729,781,3510
10,8,4Q,MON,0,1,14.4,69,9,4604,874,5478
10,9,4Q,TUE,1,0,19.3,85,11,5791,601,6392
10,10,4Q,WED,1,0,18.6,60,11,6911,780,7691
10,11,4Q,THU,1,0,19.5,52,15,6736,834,7570
10,12,4Q,FRI,1,0,23.2,50,8,6222,1060,7282
10,13,4Q,SAT,0,0,16.3,46,8,4857,2252,7109
10,14,4Q,SUN,0,0,25.3,55,9,4559,2080,6639
10,15,4Q,MON,1,0,31.1,66,27,5115,760,5875
10,16,4Q,TUE,1,0,23.7,61,10,6612,922,7534
10,17,4Q,WED,1,0,20.8,72,6,6482,979,7461
10,18,4Q,THU,1,0,22.4,76,17,6501,1008,7509
10,19,4Q,FRI,1,0,24.6,90,10,4671,753,5424
10,20,4Q,SAT,0,0,16.4,47,2,5284,2806,8090
10,21,4Q,SUN,0,0,18.6,55,13,4692,2132,6824
10,22,4Q,MON,1,0,17.7,62,13,6228,830,7058
10,23,4Q,TUE,1,0,12.6,56,6,6625,841,7466
10,24,4Q,WED,1,0,26.6,57,7,6898,795,7693
10,25,4Q,THU,1,0,25.4,73,-1,6484,875,7359
10,26,4Q,FRI,1,0,11.1,74,1,6262,1182,7444
10,27,4Q,SAT,0,0,25.5,74,24,5209,2643,7852
10,28,4Q,SUN,0,0,20.8,71,38,3461,998,4459
10,29,4Q,MON,1,0,15.2,98,25,20,2,22
10,30,4Q,TUE,1,0,12.9,82,11,1009,87,1096
10,31,4Q,WED,1,0,16.0,63,5,5147,419,5566
11,1,4Q,THU,1,0,16.5,62,10,5520,466,5986
11,2,4Q,FRI,1,0,17.0,43,27,5229,618,5847
11,3,4Q,SAT,0,0,11.9,52,19,4109,1029,5138
11,4,4Q,SUN,0,0,10.2,58,16,3906,1201,5107
11,5,4Q,MON,1,0,11.2,50,6,4881,378,5259
11,6,4Q,TUE,1,0,21.8,65,16,5220,466,5686
11,7,4Q,WED,1,0,18.6,47,22,4709,326,5035
11,8,4Q,THU,1,0,21.0,27,17,4975,340,5315
11,9,4Q,FRI,1,0,19.3,43,17,5283,709,5992
11,10,4Q,SAT,0,0,10.0,57,2,4446,2090,6536
11,11,4Q,SUN,0,0,15.9,64,8,4562,2290,6852
11,12,4Q,MON,0,1,23.5,70,22,5172,1097,6269
11,13,4Q,TUE,1,0,9.5,70,30,3767,327,4094
11,14,4Q,WED,1,0,9.6,65,13,5122,373,5495
11,15,4Q,THU,1,0,14.3,56,6,5125,320,5445
11,16,4Q,FRI,1,0,12.0,47,11,5214,484,5698
11,17,4Q,SAT,0,0,13.2,52,12,4316,1313,5629
11,18,4Q,SUN,0,0,8.0,71,5,3747,922,4669
11,19,4Q,MON,1,0,16.6,66,11,5050,449,5499
11,20,4Q,TUE,1,0,16.7,69,7,5100,534,5634
11,21,4Q,WED,1,0,14.8,63,10,4531,615,5146
11,22,4Q,THU,0,1,8.7,53,7,1470,955,2425
11,23,4Q,FRI,1,0,9.4,52,3,2307,1603,3910
11,24,4Q,SAT,0,0,15.1,43,15,1745,532,2277
11,25,4Q,SUN,0,0,5.5,55,8,2115,309,2424
11,26,4Q,MON,1,0,17.9,58,-1,4750,337,5087
11,27,4Q,TUE,1,0,13.0,79,17,3836,123,3959
11,28,4Q,WED,1,0,12.8,64,13,5062,198,5260
11,29,4Q,THU,1,0,15.1,59,7,5080,243,5323
11,30,4Q,FRI,1,0,14.9,78,9,5306,362,5668
12,1,4Q,SAT,0,0,13.4,84,2,4240,951,5191
12,2,4Q,SUN,0,0,10.7,90,4,3757,892,4649
12,3,4Q,MON,1,0,15.9,85,6,5679,555,6234
12,4,4Q,TUE,1,0,18.6,65,19,6055,551,6606
12,5,4Q,WED,1,0,14.7,54,19,5398,331,5729
12,6,4Q,THU,1,0,17.9,51,7,5035,340,5375
12,7,4Q,FRI,1,0,4.8,80,6,4659,349,5008
12,8,4Q,SAT,0,0,15.8,95,-1,4429,1153,5582
12,9,4Q,SUN,0,0,13.7,100,17,2787,441,3228
12,10,4Q,MON,1,0,23.1,108,21,4841,329,5170
12,11,4Q,TUE,1,0,16.6,70,14,5219,282,5501
12,12,4Q,WED,1,0,6.3,55,25,5009,310,5319
12,13,4Q,THU,1,0,15.6,46,21,5107,425,5532
12,14,4Q,FRI,1,0,9.2,63,1,5182,429,5611
12,15,4Q,SAT,0,0,7.5,70,10,4280,767,5047
12,16,4Q,SUN,0,0,15.0,73,8,3248,538,3786
12,17,4Q,MON,1,0,13.7,98,-2,4373,212,4585
12,18,4Q,TUE,1,0,15.7,75,16,5124,433,5557
12,19,4Q,WED,1,0,8.0,70,17,4934,333,5267
12,20,4Q,THU,1,0,13.5,71,5,3814,314,4128
12,21,4Q,FRI,1,0,14.8,57,25,3402,221,3623
12,22,4Q,SAT,0,0,12.5,37,34,1544,205,1749
12,23,4Q,SUN,0,0,9.6,48,10,1379,408,1787
12,24,4Q,MON,1,0,3.7,88,8,746,174,920
12,25,4Q,TUE,0,1,14.4,71,10,573,440,1013
12,26,4Q,WED,1,0,10.4,87,22,432,9,441
12,27,4Q,THU,1,0,10.0,83,24,1867,247,2114
12,28,4Q,FRI,1,0,14.0,45,10,2451,644,3095
12,29,4Q,SAT,0,0,14.9,72,9,1182,159,1341
12,30,4Q,SUN,0,0,16.5,54,26,1432,364,1796
12,31,4Q,MON,1,0,3.5,60,21,2290,439,2729
